Frequency_GHz,S11_dB
1.000000000000000000e+00,-9.674463908248098765e-01
1.010000000000000009e+00,-9.683454019170251170e-01
1.020000000000000018e+00,-9.691264016492784350e-01
1.030000000000000027e+00,-9.697868752140538229e-01
1.040000000000000036e+00,-9.703285033123723036e-01
1.050000000000000044e+00,-9.707569871517968130e-01
1.060000000000000053e+00,-9.710817414184090834e-01
1.070000000000000062e+00,-9.713154739415710281e-01
1.080000000000000071e+00,-9.714736725283286134e-01
1.090000000000000080e+00,-9.715740200760307754e-01
1.100000000000000089e+00,-9.716357589007511564e-01
1.110000000000000098e+00,-9.716790245671513837e-01
1.120000000000000107e+00,-9.717241686478529372e-01
1.129999999999999893e+00,-9.717910889756714576e-01
1.139999999999999902e+00,-9.718985851840510337e-01
1.149999999999999911e+00,-9.720637566683053565e-01
1.159999999999999920e+00,-9.723014594633377916e-01
1.169999999999999929e+00,-9.726238377761911025e-01
1.179999999999999938e+00,-9.730399448470785639e-01
1.189999999999999947e+00,-9.735554662457800434e-01
1.199999999999999956e+00,-9.741725564731973375e-01
1.209999999999999964e+00,-9.748897967224133820e-01
1.219999999999999973e+00,-9.757022778385919803e-01
1.229999999999999982e+00,-9.766018079876893632e-01
1.239999999999999991e+00,-9.775772394943962329e-01
1.250000000000000000e+00,-9.786149040350287098e-01
1.260000000000000009e+00,-9.796991402371291180e-01
1.270000000000000018e+00,-9.808128931452108068e-01
1.280000000000000027e+00,-9.819383613457889348e-01
1.290000000000000036e+00,-9.830576651270390709e-01
1.300000000000000044e+00,-9.841535080955470249e-01
1.310000000000000053e+00,-9.852098052681667051e-01
1.320000000000000062e+00,-9.862122527410575046e-01
1.330000000000000071e+00,-9.871488174184424036e-01
1.340000000000000080e+00,-9.880101296617385120e-01
1.350000000000000089e+00,-9.887897667326965845e-01
1.360000000000000098e+00,-9.894844201690862207e-01
1.370000000000000107e+00,-9.900939453890857944e-01
1.379999999999999893e+00,-9.906212965718130814e-01
1.389999999999999902e+00,-9.910723539891598266e-01
1.399999999999999911e+00,-9.914556543431349844e-01
1.409999999999999920e+00,-9.917820372553138863e-01
1.419999999999999929e+00,-9.920642228951547237e-01
1.429999999999999938e+00,-9.923163369080391094e-01
1.439999999999999947e+00,-9.925533994241042546e-01
1.449999999999999956e+00,-9.927907951115757523e-01
1.459999999999999964e+00,-9.930437410839489942e-01
1.469999999999999973e+00,-9.933267690491807134e-01
1.479999999999999982e+00,-9.936532374360961262e-01
1.489999999999999991e+00,-9.940348883459743101e-01
1.500000000000000000e+00,-9.944814630237374109e-01
1.510000000000000009e+00,-9.950003880721653982e-01
1.520000000000000018e+00,-9.955965427890700603e-01
1.530000000000000027e+00,-9.962721157486016388e-01
1.540000000000000036e+00,-9.970265560595592547e-01
1.550000000000000044e+00,-9.978566216424161750e-01
1.560000000000000053e+00,-9.987565234487792987e-01
1.570000000000000062e+00,-9.997181609289818027e-01
1.580000000000000071e+00,-1.000731440407668593e+00
1.590000000000000080e+00,-1.001784664557529236e+00
1.600000000000000089e+00,-1.002864978085983516e+00
1.610000000000000098e+00,-1.003958852276944480e+00
1.620000000000000107e+00,-1.005052589337795510e+00
1.629999999999999893e+00,-1.006132826714564166e+00
1.639999999999999902e+00,-1.007187021715663544e+00
1.649999999999999911e+00,-1.008203897910846747e+00
1.659999999999999920e+00,-1.009173836762424559e+00
1.669999999999999929e+00,-1.010089200653160546e+00
1.679999999999999938e+00,-1.010944576710186338e+00
1.689999999999999947e+00,-1.011736934373492103e+00
1.699999999999999956e+00,-1.012465693307088355e+00
1.709999999999999964e+00,-1.013132701805381286e+00
1.719999999999999973e+00,-1.013742129143740067e+00
1.729999999999999982e+00,-1.014300278240995778e+00
1.739999999999999991e+00,-1.014815327466916273e+00
